year,sex,q_0025,q_0500,q_0975
1950,female,-0.761783177018363,-0.114965296395054,0.634526028971513
1950,male,-0.655904395947178,-0.110869680491737,0.564723065995393
1951,female,-0.762390587797138,-0.10409183495641,0.655273924225043
1951,male,-0.644412187237764,-0.070684242503269,0.555671823784856
1952,female,-0.750051644359098,-0.143814835746195,0.545461074253424
1952,male,-0.653214129173321,-0.094228737245972,0.626621828829718
1953,female,-0.90201594152014,-0.125974921003813,0.69050468387035
1953,male,-0.66814474259872,-0.089550784535362,0.560009759304427
1954,female,-0.942847214049056,-0.11130161496967,0.665125556297475
1954,male,-0.778867959601872,-0.104998965679347,0.69183480175105
1955,female,-0.882674757356193,-0.127184395515842,0.597555956302921
1955,male,-0.734739280489783,-0.0701166723387701,0.694742196413791
1956,female,-0.920917923917654,-0.126720587947279,0.829464667384737
1956,male,-0.804160949748211,-0.10647801967968,0.690094354126036
1957,female,-0.879850919719654,-0.0931729034825617,0.886903590228857
1957,male,-0.73816376834386,-0.0882044671609483,0.705274266081928
1958,female,-0.982292546197102,-0.0818350578900757,0.741187212987135
1958,male,-0.835184072044998,-0.0755180574274657,0.712652154292467
1959,female,-1.00836496265739,-0.0932667177935658,0.809995301595698
1959,male,-0.719396744204006,-0.119044632079638,0.757711996328008
1960,female,-1.14936342485064,-0.102493745057316,0.709863741444387
1960,male,-0.777782515051229,-0.0844359400361792,0.81047230151643
1961,female,-1.12541372510949,-0.164624964675081,0.923795322335829
1961,male,-0.79818671009928,-0.103906331111728,0.762363362911946
1962,female,-1.16366105135243,-0.110366469831206,0.879376261319145
1962,male,-0.835314193722429,-0.124499575562405,0.759994317177318
1963,female,-1.04752218199357,-0.114089741162881,0.794874927409743
1963,male,-0.765106779774591,-0.122171444493937,0.714470424505561
1964,female,-1.21444594947051,-0.121429155189344,0.833181663948784
1964,male,-0.831968509288075,-0.132425307026404,0.779284187882744
1965,female,-1.07305047375186,-0.11124750097873,0.772125257652851
1965,male,-0.846236360293735,-0.125725605191614,0.742143955015374
1966,female,-1.32843456116078,-0.0967110492061649,0.802860462873415
1966,male,-0.883937615293141,-0.0849151374088635,0.848351708059108
1967,female,-1.13544220324417,-0.0708426884882898,1.02247754253524
1967,male,-0.954836482153723,-0.1273342644452,0.728310373789843
1968,female,-1.19959117957991,-0.090489565962379,1.04518112611703
1968,male,-0.974396500974586,-0.0899403174459157,0.906926556796541
