year,q_0975,q_0500,q_0025,sex
2022,-9.38276649653576,-14.5490723583909,-15.0135659635911,male
2023,-8.87790236635911,-15.5733782852804,-16.1569626103102,male
2024,-8.53515733983783,-16.4629043202596,-17.1695098403219,male
2025,-8.26940886360453,-17.2770593978949,-18.0810378755376,male
2026,-8.11479882426587,-18.0371949256818,-18.9369886208145,male
2027,-7.9548488497898,-18.7770209475266,-19.7473706479563,male
2028,-7.86101857595434,-19.444839292073,-20.4906093871674,male
2029,-7.74744539378376,-20.1247583121719,-21.2452432257121,male
2030,-7.67694402660993,-20.7810233043794,-21.9464927521804,male
2031,-7.65385509608162,-21.4066231281113,-22.6535040051519,male
2032,-7.62928412441334,-22.0228708635812,-23.3148080766954,male
2033,-7.61195674935443,-22.6451251591874,-23.9785819122016,male
2034,-7.62522450315935,-23.2294905454934,-24.6408795540519,male
2035,-7.6466278708319,-23.8184073378119,-25.2763006561711,male
2036,-7.66634357418901,-24.4160943381813,-25.9055156337265,male
2037,-7.69998245684997,-24.9910695212921,-26.5165315255265,male
2038,-7.7633772967848,-25.5369329449852,-27.1250489907009,male
2039,-7.82271302405003,-26.1094540119814,-27.7485767784181,male
2040,-7.87381566665688,-26.664919629745,-28.3252471022704,male
2041,-7.95622442896791,-27.2013545442957,-28.912112490847,male
2042,-7.99040556575371,-27.7319773361931,-29.4874650763155,male
2043,-8.09343891275445,-28.2633761899168,-30.039181817242,male
2044,-8.19137989169267,-28.8031542749963,-30.6354098796981,male
2045,-8.2742479628235,-29.3197037450811,-31.1945485543269,male
2046,-8.37787882340749,-29.8489368864218,-31.7898748559862,male
2047,-8.46351574331805,-30.3700801144368,-32.3545062977298,male
2048,-8.55900077504669,-30.9061223346376,-32.9032900432511,male
2049,-8.67004298067024,-31.4038967584571,-33.436292167043,male
2050,-8.77693236979178,-31.9168724169405,-33.98382034686,male
2051,-8.84678763065377,-32.4256135735477,-34.5381213454867,male
2052,-8.98664897799453,-32.8959978302095,-35.0737194113622,male
2053,-9.12985660248216,-33.4064941512864,-35.608631892362,male
2054,-9.2529770919703,-33.903214535509,-36.1234109774676,male
2055,-9.35243600901061,-34.4218870488079,-36.6533106644671,male
2056,-9.51125922417476,-34.9143899716381,-37.1702702457512,male
2057,-9.65032063245861,-35.4007349417162,-37.6913097244993,male
2058,-9.81464155011977,-35.8969580220733,-38.2218428270675,male
2059,-9.96764940106824,-36.3393261818144,-38.7496764618235,male
2060,-10.0666045525804,-36.8401002669938,-39.230637089233,male
2061,-10.1785485495381,-37.3061133676441,-39.7514792019599,male
2022,-14.9989593884881,-20.3848695767548,-20.8617557310499,female
2023,-14.5447487887191,-21.6930170671293,-22.3223671032706,female
2024,-14.2801304188502,-22.8350850645701,-23.5805144126728,female
2025,-14.1639121104029,-23.8865599625785,-24.755169020096,female
2026,-14.1041484213688,-24.8961139811218,-25.8568814874338,female
2027,-14.101549812865,-25.8583271477984,-26.8793730982565,female
2028,-14.1012253136897,-26.7789808695516,-27.890008425177,female
2029,-14.1474508001898,-27.6799946449231,-28.8676297347106,female
2030,-14.2669717539095,-28.5527820942441,-29.7913166152453,female
2031,-14.3648684965773,-29.432082537525,-30.7464124309408,female
2032,-14.5244678345086,-30.2923585958554,-31.6650081847403,female
2033,-14.6600373438304,-31.0952986971065,-32.5487462774498,female
2034,-14.8622695477362,-31.8994882251876,-33.4233578857013,female
2035,-15.0330354483423,-32.7092763006068,-34.2885340901187,female
2036,-15.2090637046254,-33.5183493957445,-35.1509886991337,female
2037,-15.4041967319575,-34.3088846594184,-35.9941633112933,female
2038,-15.5804258129477,-35.0952388505752,-36.8064346562762,female
2039,-15.8351397367556,-35.8569118001763,-37.6475674164024,female
2040,-16.0777280334901,-36.6114388852075,-38.4388352189421,female
2041,-16.2621100490908,-37.3517928470816,-39.2643531891472,female
2042,-16.5090995424038,-38.106094289651,-40.0474833176228,female
2043,-16.769629890422,-38.8498457188124,-40.8156356720974,female
2044,-17.009694164359,-39.598254046896,-41.6064969596463,female
2045,-17.2651585613652,-40.3263248218428,-42.4047810326638,female
2046,-17.5141963356306,-41.0805545095716,-43.1587736718073,female
2047,-17.7924077834774,-41.8175953868541,-43.9215656561977,female
2048,-18.078872137516,-42.5551372302824,-44.7047353573542,female
2049,-18.3724602854867,-43.2398142327035,-45.4836416149865,female
2050,-18.6441151297627,-43.9726968354906,-46.2132983942289,female
2051,-18.9189836940785,-44.6700276042773,-46.9722331640147,female
2052,-19.2255848588554,-45.372285458746,-47.7243081018955,female
2053,-19.5019446271319,-46.0819692161676,-48.4464520654725,female
2054,-19.8159192711492,-46.8035679123602,-49.2062484940111,female
2055,-20.0868719609741,-47.5288798876079,-49.9506727464206,female
2056,-20.3808810776072,-48.1994481589875,-50.6728695119572,female
2057,-20.7060836556917,-48.8972287943429,-51.3948802312547,female
2058,-20.9899316776304,-49.5806625785639,-52.1198710540355,female
2059,-21.310226928034,-50.2723705237685,-52.8465065110562,female
2060,-21.6306272966639,-50.9631878616292,-53.5758209422111,female
2061,-21.9394975694094,-51.6468987474326,-54.2507480640398,female
